file,start_time,end_time,A NE Pacific,B NE Pacific
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,98900,98930,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,6460,6490,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,71860,71890,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,222320,222350,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,1160,1190,1,1
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,209940,209970,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,93120,93150,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,96960,96990,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,217920,217950,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,104720,104750,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,169320,169350,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,145880,145910,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,91780,91810,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,84340,84370,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,196280,196310,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,148260,148290,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,33780,33810,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,169120,169150,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,162320,162350,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,232740,232770,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,105220,105250,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,221120,221150,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,214460,214490,1,1
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,164800,164830,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,34120,34150,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,200780,200810,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,215900,215930,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,123740,123770,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,215200,215230,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,81760,81790,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,127900,127930,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,151760,151790,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,52160,52190,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,232440,232470,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,92600,92630,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,116140,116170,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,107860,107890,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,187420,187450,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,6340,6370,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,172280,172310,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,203780,203810,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,201640,201670,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,219640,219670,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,186240,186270,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,29240,29270,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,136360,136390,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,148880,148910,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,200900,200930,1,1
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,122420,122450,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,217300,217330,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,224280,224310,1,1
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,172260,172290,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,153620,153650,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,201120,201150,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,177960,177990,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,225760,225790,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,201480,201510,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,52040,52070,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,30800,30830,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,96620,96650,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,205900,205930,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,40800,40830,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,233580,233610,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,113360,113390,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,2640,2670,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,96600,96630,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,80340,80370,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,195140,195170,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,181260,181290,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,94520,94550,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,46600,46630,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,96940,96970,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,3640,3670,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,79840,79870,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,233320,233350,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,167720,167750,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,196220,196250,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,222660,222690,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,138560,138590,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,105080,105110,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,191180,191210,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,47800,47830,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,92180,92210,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,29340,29370,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,233200,233230,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,117380,117410,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,200700,200730,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,142900,142930,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,192640,192670,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,208740,208770,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,29620,29650,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,231360,231390,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,122440,122470,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,213280,213310,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,114260,114290,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,190300,190330,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,194020,194050,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,15300,15330,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,84280,84310,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,9020,9050,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,203800,203830,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,6040,6070,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,137940,137970,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,234820,234850,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,15940,15970,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,225780,225810,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,181860,181890,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,145620,145650,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,213540,213570,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,31340,31370,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,140840,140870,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,217040,217070,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,154260,154290,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,32780,32810,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,205140,205170,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,186900,186930,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,34000,34030,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,194160,194190,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,146220,146250,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,92440,92470,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,123060,123090,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,103960,103990,1,1
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,72260,72290,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,1020,1050,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,2460,2490,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,171200,171230,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,113620,113650,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,226840,226870,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,212160,212190,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,201200,201230,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,176580,176610,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,232760,232790,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,208020,208050,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,233740,233770,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,193420,193450,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,143680,143710,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,198980,199010,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,212180,212210,1,1
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,112880,112910,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,206560,206590,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,134160,134190,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,167740,167770,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,210260,210290,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,94040,94070,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,152480,152510,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,217320,217350,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,57260,57290,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,95680,95710,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,121000,121030,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,201400,201430,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,171360,171390,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,182000,182030,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,209840,209870,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,193880,193910,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,80260,80290,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,233180,233210,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,221140,221170,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,233860,233890,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,122760,122790,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,232060,232090,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,138160,138190,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,232620,232650,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,92620,92650,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,123900,123930,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,218320,218350,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,178360,178390,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,181240,181270,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,95420,95450,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,90460,90490,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,222640,222670,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,198020,198050,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,34700,34730,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,119920,119950,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,151680,151710,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,172420,172450,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,222300,222330,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,51020,51050,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,166160,166190,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,69360,69390,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,94500,94530,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,224200,224230,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,207340,207370,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,1420,1450,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,181980,182010,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,73580,73610,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,115960,115990,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,88480,88510,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,147540,147570,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,234400,234430,1,1
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,26880,26910,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,208000,208030,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,194000,194030,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,205600,205630,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,196720,196750,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,101500,101530,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,232920,232950,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,97300,97330,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,193640,193670,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,88220,88250,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,182340,182370,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,170740,170770,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,199800,199830,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,113080,113110,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,153820,153850,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,47820,47850,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,203920,203950,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,1240,1270,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,114420,114450,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,210440,210470,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,20,50,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,87600,87630,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,74060,74090,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,94020,94050,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,108380,108410,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,52300,52330,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,3800,3830,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,29740,29770,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,199720,199750,1,1
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,67540,67570,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,71840,71870,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,105940,105970,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,107480,107510,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,2020,2050,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,148140,148170,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,143700,143730,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,98240,98270,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,205940,205970,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,9400,9430,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,55760,55790,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,53060,53090,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,4760,4790,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,151460,151490,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,960,990,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,110700,110730,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,51360,51390,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,180940,180970,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,93180,93210,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,116260,116290,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,128660,128690,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,234160,234190,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,208860,208890,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,213420,213450,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,233440,233470,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,14120,14150,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,93860,93890,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,179720,179750,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,99360,99390,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,146740,146770,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,200,230,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,114060,114090,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,202120,202150,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,340,370,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,161000,161030,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,9280,9310,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,137360,137390,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,102300,102330,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,760,790,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,117840,117870,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,193180,193210,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,219660,219690,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,38460,38490,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,96500,96530,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,9820,9850,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,164140,164170,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,39280,39310,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,152440,152470,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,177820,177850,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,137880,137910,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,121460,121490,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,148200,148230,1,0
..\..\data\raw\DCPP01A_d01_121109_191242.d100.x.wav,207200,207230,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,148100,148130,1,0
..\..\data\raw\DCPP01A_d01_121112_122652.d100.x.wav,51760,51790,1,0
